entity:sample_id	channel_model	code_length	n_types	min_hamming_weight	max_hamming_weight	metric_type	source_nonuniformity	lowest_energy_sa	rand_state_energy_loc	rand_state_energy_scale	i_iter	i_cycle	lowest_energy_var
sa_bac__second_wave__channel_bac_merfish__10__1__9__32__10__10__fdr	channel_bac_merfish	10	32	1	9	fdr	10.0	0.1133457720279693	0.2163782715797424	0.013604731298983	320140	53	0.1352623701095581
sa_bac__second_wave__channel_bac_merfish__10__1__9__64__1000__10__fdr	channel_bac_merfish	10	64	1	9	fdr	1000.0	0.2584478855133056	0.4486148357391357	0.0138778742402791	274019	53	0.2966240644454956
sa_bac__second_wave__channel_bac_merfish__10__1__9__64__100__10__fdr	channel_bac_merfish	10	64	1	9	fdr	100.0	0.2249518781900406	0.3736813366413116	0.0120750330388545	264007	53	0.2688665986061096
sa_bac__second_wave__channel_bac_merfish__10__1__9__64__10__10__fdr	channel_bac_merfish	10	64	1	9	fdr	10.0	0.2018941640853881	0.3176460564136505	0.0093243643641471	261173	53	0.2457336187362671
sa_bac__second_wave__channel_bac_merfish__10__2__8__128__1000__10__fdr	channel_bac_merfish	10	128	2	8	fdr	1000.0	0.3874940574169159	0.565544068813324	0.007989308796823	266022	53	0.4198561906814575
sa_bac__second_wave__channel_bac_merfish__10__2__8__128__100__10__fdr	channel_bac_merfish	10	128	2	8	fdr	100.0	0.3575361371040344	0.4940534830093384	0.0074452180415391	259832	53	0.39182090759277344
sa_bac__second_wave__channel_bac_merfish__10__2__8__128__10__10__fdr	channel_bac_merfish	10	128	2	8	fdr	10.0	0.336967408657074	0.4336940050125122	0.0058765583671629	259556	53	0.3756885528564453
sa_bac__second_wave__channel_bac_merfish__10__2__8__16__1000__10__fdr	channel_bac_merfish	10	16	2	8	fdr	1000.0	0.0803675130009651	0.2324849665164947	0.0321119949221611	679274	53	0.11516892910003662
sa_bac__second_wave__channel_bac_merfish__10__2__8__16__100__10__fdr	channel_bac_merfish	10	16	2	8	fdr	100.0	0.0652844682335853	0.1734605580568313	0.0247844010591506	502403	53	0.08287781476974487
sa_bac__second_wave__channel_bac_merfish__10__2__8__16__10__10__fdr	channel_bac_merfish	10	16	2	8	fdr	10.0	0.0552665665745735	0.1363984048366546	0.0182799361646175	356794	51	0.0674559473991394
