entity:sample_id	channel_model	code_length	n_types	min_hamming_weight	max_hamming_weight	metric_type	source_nonuniformity	lowest_energy_sa	rand_state_energy_loc	rand_state_energy_scale	i_iter	i_cycle
sa_bac__second_wave__channel_bac_merfish__6__1__5__16__1000__10__fdr	channel_bac_merfish	6	16	1	5	fdr	1000.0	0.2986014485359192	0.4926294982433319	0.028937960043549538	639009	31
sa_bac__second_wave__channel_bac_merfish__6__1__5__16__100__10__fdr	channel_bac_merfish	6	16	1	5	fdr	100.0	0.2609926164150238	0.40917834639549255	0.02637285552918911	1503735	50
sa_bac__second_wave__channel_bac_merfish__6__1__5__16__10__10__fdr	channel_bac_merfish	6	16	1	5	fdr	10.0	0.23645968735218048	0.33603620529174805	0.01882883720099926	211753	33
sa_bac__second_wave__channel_bac_merfish__6__2__4__16__1000__10__fdr	channel_bac_merfish	6	16	2	4	fdr	1000.0	0.31473615765571594	0.4965810775756836	0.027834558859467506	1052473	32
sa_bac__second_wave__channel_bac_merfish__6__2__4__16__100__10__fdr	channel_bac_merfish	6	16	2	4	fdr	100.0	0.2722216248512268	0.4134416878223419	0.025514936074614525	491414	31
sa_bac__second_wave__channel_bac_merfish__6__2__4__16__10__10__fdr	channel_bac_merfish	6	16	2	4	fdr	10.0	0.24660080671310425	0.3410596251487732	0.018053105100989342	210808	31
sa_bac__second_wave__channel_bac_merfish__7__1__6__16__1000__10__fdr	channel_bac_merfish	7	16	1	6	fdr	1000.0	0.22361864149570465	0.42057472467422485	0.032618872821331024	321487	31
sa_bac__second_wave__channel_bac_merfish__7__1__6__16__100__10__fdr	channel_bac_merfish	7	16	1	6	fdr	100.0	0.17403462529182434	0.338821142911911	0.028517160564661026	229865	31
sa_bac__second_wave__channel_bac_merfish__7__1__6__16__10__10__fdr	channel_bac_merfish	7	16	1	6	fdr	10.0	0.13994434475898743	0.27524593472480774	0.02080143243074417	175945	31
sa_bac__second_wave__channel_bac_merfish__7__1__6__32__1000__10__fdr	channel_bac_merfish	7	32	1	6	fdr	1000.0	0.35010531544685364	0.5430006980895996	0.01787228137254715	527171	53
sa_bac__second_wave__channel_bac_merfish__7__1__6__32__100__10__fdr	channel_bac_merfish	7	32	1	6	fdr	100.0	0.3182647228240967	0.4657011330127716	0.016521917656064034	307508	53
sa_bac__second_wave__channel_bac_merfish__7__1__6__32__10__10__fdr	channel_bac_merfish	7	32	1	6	fdr	10.0	0.2979484796524048	0.39640533924102783	0.012334947474300861	265641	53
sa_bac__second_wave__channel_bac_merfish__7__2__5__16__1000__10__fdr	channel_bac_merfish	7	16	2	5	fdr	1000.0	0.23346355557441711	0.42294228076934814	0.032253239303827286	428910	31
sa_bac__second_wave__channel_bac_merfish__7__2__5__16__100__10__fdr	channel_bac_merfish	7	16	2	5	fdr	100.0	0.19035732746124268	0.34159040451049805	0.02853371389210224	334116	31
sa_bac__second_wave__channel_bac_merfish__7__2__5__16__10__10__fdr	channel_bac_merfish	7	16	2	5	fdr	10.0	0.16082558035850525	0.27775973081588745	0.0206312146037817	197015	31
sa_bac__second_wave__channel_bac_merfish__7__2__5__32__1000__10__fdr	channel_bac_merfish	7	32	2	5	fdr	1000.0	0.35714319348335266	0.5454055070877075	0.01787431538105011	1648704	53
sa_bac__second_wave__channel_bac_merfish__7__2__5__32__100__10__fdr	channel_bac_merfish	7	32	2	5	fdr	100.0	0.3228847086429596	0.46853071451187134	0.016349539160728455	273241	46
sa_bac__second_wave__channel_bac_merfish__7__2__5__32__10__10__fdr	channel_bac_merfish	7	32	2	5	fdr	10.0	0.30111193656921387	0.3998219072818756	0.012236260809004307	250274	50
sa_bac__second_wave__channel_bac_merfish__8__1__7__16__1000__10__fdr	channel_bac_merfish	8	16	1	7	fdr	1000.0	0.14770397543907166	0.35147660970687866	0.03426365181803703	283255	31
sa_bac__second_wave__channel_bac_merfish__8__1__7__16__100__10__fdr	channel_bac_merfish	8	16	1	7	fdr	100.0	0.10987673699855804	0.2754022777080536	0.02893947623670101	165330	31
sa_bac__second_wave__channel_bac_merfish__8__1__7__16__10__10__fdr	channel_bac_merfish	8	16	1	7	fdr	10.0	0.09350961446762085	0.22093428671360016	0.02106216549873352	163558	33
